Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
2061,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),No,No
2062,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),No,No
2065,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,No
2066,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,No
2069,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,No
2070,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,No
2111,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),No,No
2116,VI produced with good quality,Lower quality,Low,No,No,No,Land (Nothing else but land),No,No
2118,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Land (Nothing else but land),No,No
2120,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),No,No
2122,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),No,No
2124,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,No
2126,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,No
2175,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Land (Nothing else but land),No,No
2185,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Land (Nothing else but land),No,No
2186,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,No,No,No,Land (Nothing else but land),No,No
2189,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,No
2190,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,No
2193,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,No
2194,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,No
2239,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,No
2257,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),No,No
2258,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),No,No
2261,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,No
2262,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,No
2265,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,No
2266,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,No
2303,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),No,No
2321,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2322,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2325,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2326,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2329,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2330,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2367,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2376,VI produced with good quality,Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),No,No
2378,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),No,No
2380,VI produced with good quality,Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),No,No
2382,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),No,No
2384,VI produced with good quality,Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,No
2386,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,No
2431,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Land (Nothing else but land),No,No
2445,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),No,No
2446,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),No,No
2449,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,No
2450,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,No
2453,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,No
2454,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,No
2495,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),No,No
2517,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),No,No
2518,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),No,No
2521,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,No
2522,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,No
2525,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,No
2526,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,No
2559,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),No,No
3098,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3102,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3106,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3135,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3154,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Land (Nothing else but land),No,No
3158,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Land (Nothing else but land),No,No
3162,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Land (Nothing else but land),No,No
3199,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Land (Nothing else but land),No,No
3222,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Land (Nothing else but land),No,No
3226,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Land (Nothing else but land),No,No
3230,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Land (Nothing else but land),No,No
3263,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Land (Nothing else but land),No,No
3294,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Land (Nothing else but land),No,No
3298,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Land (Nothing else but land),No,No
3302,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),No,No
3327,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Land (Nothing else but land),No,No
3358,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3362,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3366,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3391,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3414,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3418,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3422,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3455,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,Yes,Land (Nothing else but land),No,No
3482,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3490,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3519,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,Yes,Land (Nothing else but land),No,No
3554,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Land (Nothing else but land),No,No
3558,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Land (Nothing else but land),No,No
3562,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Land (Nothing else but land),No,No
3583,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,Yes,Land (Nothing else but land),No,No
4109,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4110,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4113,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4114,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4117,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4118,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4159,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4164,VI produced with good quality,Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4166,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4168,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4170,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4172,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4174,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4223,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4233,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4234,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4237,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4238,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4241,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4242,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4287,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4305,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4306,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4309,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4310,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4313,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4314,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4351,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4369,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4370,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4373,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4374,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4377,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4378,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4415,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
5146,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5150,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5154,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5183,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5202,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5206,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5210,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5247,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5270,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5274,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5278,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5311,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5342,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5346,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5350,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5375,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5406,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5410,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5414,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5439,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
6157,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,No,No
6158,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,No,No
6161,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,No,No
6162,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,No,No
6165,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,No,No
6166,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,No,No
6207,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,No,No
6212,VI produced with good quality,Lower quality,Low,No,No,No,Shallow inland water,No,No
6214,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Shallow inland water,No,No
6216,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Shallow inland water,No,No
6218,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Shallow inland water,No,No
6220,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Shallow inland water,No,No
6222,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Shallow inland water,No,No
6271,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow inland water,No,No
6281,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Shallow inland water,No,No
6282,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,No,No,No,Shallow inland water,No,No
6285,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Shallow inland water,No,No
6286,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Shallow inland water,No,No
6289,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Shallow inland water,No,No
6290,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Shallow inland water,No,No
6335,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow inland water,No,No
6353,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Shallow inland water,No,No
6354,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Shallow inland water,No,No
6357,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Shallow inland water,No,No
6358,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Shallow inland water,No,No
6361,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Shallow inland water,No,No
6362,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Shallow inland water,No,No
6399,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Shallow inland water,No,No
6417,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Shallow inland water,No,No
6418,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Shallow inland water,No,No
6421,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,No,No
6422,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,No,No
6425,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,No,No
6426,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,No,No
6463,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,No,No
6472,VI produced with good quality,Decreasing quality (0010),Low,Yes,No,No,Shallow inland water,No,No
6476,VI produced with good quality,Decreasing quality (0011),Low,Yes,No,No,Shallow inland water,No,No
6480,VI produced with good quality,Decreasing quality (0100),Low,Yes,No,No,Shallow inland water,No,No
6527,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Shallow inland water,No,No
6541,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Shallow inland water,No,No
6545,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Shallow inland water,No,No
6549,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Shallow inland water,No,No
6591,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Shallow inland water,No,No
6613,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Shallow inland water,No,No
6617,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Shallow inland water,No,No
6621,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Shallow inland water,No,No
6655,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Shallow inland water,No,No
7194,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Shallow inland water,No,No
7198,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Shallow inland water,No,No
7202,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Shallow inland water,No,No
7231,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,No,No
7250,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Shallow inland water,No,No
7254,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Shallow inland water,No,No
7258,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Shallow inland water,No,No
7295,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Shallow inland water,No,No
7318,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Shallow inland water,No,No
7322,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Shallow inland water,No,No
7326,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Shallow inland water,No,No
7359,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Shallow inland water,No,No
7390,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Shallow inland water,No,No
7394,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Shallow inland water,No,No
7398,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Shallow inland water,No,No
7423,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Shallow inland water,No,No
7454,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Shallow inland water,No,No
7458,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Shallow inland water,No,No
7462,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Shallow inland water,No,No
7487,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,No,No
7578,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,Yes,Shallow inland water,No,No
7650,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Shallow inland water,No,No
