Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
7654,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Shallow inland water,No,No
7658,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Shallow inland water,No,No
18449,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18450,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18453,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18454,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18457,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18458,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18495,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18504,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),Yes,No
18508,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),Yes,No
18512,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),Yes,No
18559,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Land (Nothing else but land),Yes,No
18573,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),Yes,No
18577,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),Yes,No
18581,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),Yes,No
18645,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),Yes,No
18649,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,No
18653,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),Yes,No
18687,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),Yes,No
18709,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18710,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18713,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18714,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18717,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18718,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18751,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18764,VI produced with good quality,Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18768,VI produced with good quality,Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18772,VI produced with good quality,Decreasing quality (0101),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18833,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18837,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18841,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18879,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),Yes,No
18905,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),Yes,No
18909,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,No
18913,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),Yes,No
18943,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),Yes,No
19486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19490,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19494,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19519,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19610,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Land (Nothing else but land),Yes,No
19647,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Land (Nothing else but land),Yes,No
19682,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Land (Nothing else but land),Yes,No
19686,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),Yes,No
19690,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Land (Nothing else but land),Yes,No
19746,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19750,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19754,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19775,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19802,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,Yes,No,Yes,Land (Nothing else but land),Yes,No
19942,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19946,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19950,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19967,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,Yes,Land (Nothing else but land),Yes,No
20497,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20498,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20501,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20502,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20505,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20506,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20543,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20552,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20556,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20560,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20621,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20625,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20629,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20671,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20693,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20697,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20701,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20757,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20761,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20765,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20799,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
21534,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21538,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21542,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21567,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21794,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21798,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21802,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
22545,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,Yes,No
22546,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,Yes,No
22549,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,No
22550,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,No
22553,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,Yes,No
22554,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,Yes,No
22591,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,Yes,No
22600,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Shallow inland water,Yes,No
22604,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Shallow inland water,Yes,No
22608,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Shallow inland water,Yes,No
22655,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow inland water,Yes,No
22669,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Shallow inland water,Yes,No
22673,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Shallow inland water,Yes,No
22677,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Shallow inland water,Yes,No
22719,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow inland water,Yes,No
22741,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Shallow inland water,Yes,No
22745,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Shallow inland water,Yes,No
22749,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Shallow inland water,Yes,No
22805,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,Yes,No
22806,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,Yes,No
22809,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,No
22810,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,No
22813,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,No
22814,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,No
22847,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,Yes,No
23005,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Shallow inland water,Yes,No
23009,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Shallow inland water,Yes,No
23582,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Shallow inland water,Yes,No
23586,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Shallow inland water,Yes,No
23590,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Shallow inland water,Yes,No
23615,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,Yes,No
23642,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Shallow inland water,Yes,No
23842,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23846,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23850,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23871,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
34837,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34838,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34841,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34842,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34845,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34846,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34879,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34892,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,Yes
34894,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,Yes
34896,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),No,Yes
34898,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),No,Yes
34900,VI produced with good quality,Decreasing quality (0101),Low,No,No,No,Land (Nothing else but land),No,Yes
34902,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,No,Land (Nothing else but land),No,Yes
34943,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Land (Nothing else but land),No,Yes
34961,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,Yes
34962,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,Yes
34965,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),No,Yes
34966,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),No,Yes
34969,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Land (Nothing else but land),No,Yes
34970,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,No,Land (Nothing else but land),No,Yes
35007,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,Yes
35033,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,Yes
35034,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,Yes
35037,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),No,Yes
35038,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),No,Yes
35041,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Land (Nothing else but land),No,Yes
35042,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,No,Land (Nothing else but land),No,Yes
35071,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),No,Yes
35097,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35098,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35101,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35102,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35105,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35106,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35135,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35152,VI produced with good quality,Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35154,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35156,VI produced with good quality,Decreasing quality (0101),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35158,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35160,VI produced with good quality,Decreasing quality (0110),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35162,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35199,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Land (Nothing else but land),No,Yes
35221,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35222,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35225,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35226,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35229,"VI produced, but check other QA",Decreasing quality (0111),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35230,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35263,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),No,Yes
35293,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,Yes
35294,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,Yes
35297,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),No,Yes
35298,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),No,Yes
35301,"VI produced, but check other QA",Decreasing quality (1001),High,Yes,No,No,Land (Nothing else but land),No,Yes
35302,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,No,Land (Nothing else but land),No,Yes
35327,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),No,Yes
35874,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35878,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35882,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35903,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35930,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35934,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35938,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35967,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Land (Nothing else but land),No,Yes
35998,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Land (Nothing else but land),No,Yes
36002,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,No,No,Yes,Land (Nothing else but land),No,Yes
36006,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Average,No,No,Yes,Land (Nothing else but land),No,Yes
36031,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Land (Nothing else but land),No,Yes
36070,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),No,Yes
36074,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Land (Nothing else but land),No,Yes
36078,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,No,No,Yes,Land (Nothing else but land),No,Yes
36095,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Land (Nothing else but land),No,Yes
36134,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),No,Yes
36138,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Land (Nothing else but land),No,Yes
36142,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Land (Nothing else but land),No,Yes
36159,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Land (Nothing else but land),No,Yes
36190,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,Yes,No,Yes,Land (Nothing else but land),No,Yes
36194,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Low,Yes,No,Yes,Land (Nothing else but land),No,Yes
36198,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Low,Yes,No,Yes,Land (Nothing else but land),No,Yes
36223,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,Yes,Land (Nothing else but land),No,Yes
36258,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,Yes,No,Yes,Land (Nothing else but land),No,Yes
36262,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Average,Yes,No,Yes,Land (Nothing else but land),No,Yes
36266,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Average,Yes,No,Yes,Land (Nothing else but land),No,Yes
36287,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,Yes,Land (Nothing else but land),No,Yes
36330,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Land (Nothing else but land),No,Yes
36334,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Land (Nothing else but land),No,Yes
36338,"Pixel produced, but most probably cloudy",Lowest quality,High,Yes,No,Yes,Land (Nothing else but land),No,Yes
36351,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,Yes,Land (Nothing else but land),No,Yes
36885,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36886,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
