Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
36889,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36890,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36893,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36894,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36927,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36940,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36944,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36946,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36948,VI produced with good quality,Decreasing quality (0101),Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36950,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
36991,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37009,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37010,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37013,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37014,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37017,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37018,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37055,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37081,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37085,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37086,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37089,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37090,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37119,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Ocean coastlines and lake shorelines,No,Yes
37145,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37146,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37149,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37150,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37153,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37154,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37183,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,Yes
37922,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
37926,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
37930,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
37978,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
37982,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
37986,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38015,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38046,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38050,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38054,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38079,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38118,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38122,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38126,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38143,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38182,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38186,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38190,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38207,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,Yes
38933,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,No,Yes
38934,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,No,Yes
38937,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,No,Yes
38938,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,No,Yes
38941,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Shallow inland water,No,Yes
38942,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Shallow inland water,No,Yes
38975,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,No,Yes
38988,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Shallow inland water,No,Yes
38990,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Shallow inland water,No,Yes
38992,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Shallow inland water,No,Yes
38994,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,No,Shallow inland water,No,Yes
38996,VI produced with good quality,Decreasing quality (0101),Low,No,No,No,Shallow inland water,No,Yes
38998,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,No,Shallow inland water,No,Yes
39039,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow inland water,No,Yes
39057,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Shallow inland water,No,Yes
39058,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Shallow inland water,No,Yes
39061,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Shallow inland water,No,Yes
39062,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,No,Shallow inland water,No,Yes
39065,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Shallow inland water,No,Yes
39066,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,No,Shallow inland water,No,Yes
39103,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow inland water,No,Yes
39129,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Shallow inland water,No,Yes
39130,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Shallow inland water,No,Yes
39133,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Shallow inland water,No,Yes
39134,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,No,Shallow inland water,No,Yes
39137,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Shallow inland water,No,Yes
39138,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,No,Shallow inland water,No,Yes
39167,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Shallow inland water,No,Yes
39193,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,No,Yes
39194,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,No,Yes
39197,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,No,Yes
39198,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,No,Yes
39201,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,No,Yes
39202,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,No,Yes
39231,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,No,Yes
39248,VI produced with good quality,Decreasing quality (0100),Low,Yes,No,No,Shallow inland water,No,Yes
39252,VI produced with good quality,Decreasing quality (0101),Low,Yes,No,No,Shallow inland water,No,Yes
39295,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Shallow inland water,No,Yes
39317,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Shallow inland water,No,Yes
39321,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Shallow inland water,No,Yes
39325,"VI produced, but check other QA",Decreasing quality (0111),Average,Yes,No,No,Shallow inland water,No,Yes
39359,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Shallow inland water,No,Yes
39389,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Shallow inland water,No,Yes
39393,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Shallow inland water,No,Yes
39397,"VI produced, but check other QA",Decreasing quality (1001),High,Yes,No,No,Shallow inland water,No,Yes
39423,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Shallow inland water,No,Yes
39970,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Shallow inland water,No,Yes
39974,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Shallow inland water,No,Yes
39978,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Shallow inland water,No,Yes
39999,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,No,Yes
40026,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Shallow inland water,No,Yes
40030,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,No,No,Yes,Shallow inland water,No,Yes
40034,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Low,No,No,Yes,Shallow inland water,No,Yes
40063,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Shallow inland water,No,Yes
40094,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Shallow inland water,No,Yes
40098,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,No,No,Yes,Shallow inland water,No,Yes
40102,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Average,No,No,Yes,Shallow inland water,No,Yes
40127,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Shallow inland water,No,Yes
40166,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Shallow inland water,No,Yes
40170,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Shallow inland water,No,Yes
40174,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,No,No,Yes,Shallow inland water,No,Yes
40230,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Shallow inland water,No,Yes
40234,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Shallow inland water,No,Yes
40238,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Shallow inland water,No,Yes
40255,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,No,Yes
40354,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,Yes,No,Yes,Shallow inland water,No,Yes
40358,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Average,Yes,No,Yes,Shallow inland water,No,Yes
40426,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Shallow inland water,No,Yes
40430,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Shallow inland water,No,Yes
40434,"Pixel produced, but most probably cloudy",Lowest quality,High,Yes,No,Yes,Shallow inland water,No,Yes
40447,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,Yes,Shallow inland water,No,Yes
51199,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Shallow ocean,Yes,Yes
51225,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51229,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51233,"VI produced, but check other QA",Decreasing quality (1000),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51234,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51263,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51280,VI produced with good quality,Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),Yes,Yes
51284,VI produced with good quality,Decreasing quality (0101),Low,No,No,No,Land (Nothing else but land),Yes,Yes
51288,VI produced with good quality,Decreasing quality (0110),Low,No,No,No,Land (Nothing else but land),Yes,Yes
51349,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),Yes,Yes
51353,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Land (Nothing else but land),Yes,Yes
51357,"VI produced, but check other QA",Decreasing quality (0111),Average,No,No,No,Land (Nothing else but land),Yes,Yes
51421,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),Yes,Yes
51425,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Land (Nothing else but land),Yes,Yes
51429,"VI produced, but check other QA",Decreasing quality (1001),High,No,No,No,Land (Nothing else but land),Yes,Yes
51455,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),Yes,Yes
51485,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51489,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51493,"VI produced, but check other QA",Decreasing quality (1001),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51519,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51544,VI produced with good quality,Decreasing quality (0110),Low,Yes,No,No,Land (Nothing else but land),Yes,Yes
51548,VI produced with good quality,Decreasing quality (0111),Low,Yes,No,No,Land (Nothing else but land),Yes,Yes
51609,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51613,"VI produced, but check other QA",Decreasing quality (0111),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51617,"VI produced, but check other QA",Decreasing quality (1000),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51647,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51681,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51685,"VI produced, but check other QA",Decreasing quality (1001),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51689,"VI produced, but check other QA",Decreasing quality (1010),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51711,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),Yes,Yes
52262,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52266,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52270,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52462,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,No,No,Yes,Land (Nothing else but land),Yes,Yes
52522,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52526,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52530,"Pixel produced, but most probably cloudy",Lowest quality,Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52718,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52722,"Pixel produced, but most probably cloudy",Lowest quality,High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52726,"Pixel produced, but most probably cloudy",Quality so low that it is not useful,High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
53273,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53277,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53281,"VI produced, but check other QA",Decreasing quality (1000),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53311,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53336,VI produced with good quality,Decreasing quality (0110),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53397,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53401,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53405,"VI produced, but check other QA",Decreasing quality (0111),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53473,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53477,"VI produced, but check other QA",Decreasing quality (1001),High,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53533,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53537,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53541,"VI produced, but check other QA",Decreasing quality (1001),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53567,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
54310,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54314,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54318,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54570,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54574,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54578,"Pixel produced, but most probably cloudy",Lowest quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
55321,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,Yes,Yes
55325,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Shallow inland water,Yes,Yes
55326,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Shallow inland water,Yes,Yes
55329,"VI produced, but check other QA",Decreasing quality (1000),Climatology,No,No,No,Shallow inland water,Yes,Yes
55330,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,No,Shallow inland water,Yes,Yes
55359,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,Yes,Yes
55380,VI produced with good quality,Decreasing quality (0101),Low,No,No,No,Shallow inland water,Yes,Yes
55445,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Shallow inland water,Yes,Yes
55449,"VI produced, but check other QA",Decreasing quality (0110),Average,No,No,No,Shallow inland water,Yes,Yes
55453,"VI produced, but check other QA",Decreasing quality (0111),Average,No,No,No,Shallow inland water,Yes,Yes
55517,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Shallow inland water,Yes,Yes
55521,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Shallow inland water,Yes,Yes
55525,"VI produced, but check other QA",Decreasing quality (1001),High,No,No,No,Shallow inland water,Yes,Yes
55581,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55582,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55585,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55586,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55589,"VI produced, but check other QA",Decreasing quality (1001),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55590,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55615,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,Yes,Yes
56358,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56362,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56366,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56383,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56418,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Low,No,No,Yes,Shallow inland water,Yes,Yes
56618,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56622,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56626,"Pixel produced, but most probably cloudy",Lowest quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56639,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
63487,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Moderate or continental ocean,Yes,Yes
