File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_NDVI_doy2018353_aid0001,_500m_16_days_NDVI,aid0001,2018-12-19,2388555.0,-0.2,0.9989,"(-0.2,0.9989)",0.3894837,0.2526829,0.0638486,0.5811,0.9989,0.3843,-0.2,0.1437
MOD13A1_006__500m_16_days_NDVI_doy2019001_aid0001,_500m_16_days_NDVI,aid0001,2019-01-01,2388552.0,-0.2,0.9988,"(-0.2,0.9988)",0.3874038,0.2474348,0.061224,0.5771,0.9988,0.381,-0.2,0.1485
MOD13A1_006__500m_16_days_NDVI_doy2019017_aid0001,_500m_16_days_NDVI,aid0001,2019-01-17,2389146.0,-0.2,0.997,"(-0.2,0.997)",0.397763,0.261712,0.0684932,0.6124,0.997,0.3965,-0.2,0.1449
MOD13A1_006__500m_16_days_NDVI_doy2019033_aid0001,_500m_16_days_NDVI,aid0001,2019-02-02,2391108.0,-0.2,0.9965,"(-0.2,0.9965)",0.3264406,0.2530604,0.0640396,0.5647,0.9965,0.2435,-0.2,0.1115
MOD13A1_006__500m_16_days_NDVI_doy2019049_aid0001,_500m_16_days_NDVI,aid0001,2019-02-18,2371917.0,-0.2,0.9754,"(-0.2,0.9754)",0.3391793,0.2492053,0.0621033,0.5607,0.9754,0.2838,-0.2,0.1222
MOD13A1_006__500m_16_days_NDVI_doy2019065_aid0001,_500m_16_days_NDVI,aid0001,2019-03-06,2387366.0,-0.2,0.9525,"(-0.2,0.9525)",0.391805,0.2568873,0.0659911,0.6208,0.9525,0.3707,-0.2,0.1559
MOD13A1_006__500m_16_days_NDVI_doy2019081_aid0001,_500m_16_days_NDVI,aid0001,2019-03-22,2388640.0,-0.2,0.9652,"(-0.2,0.9652)",0.403231,0.2541002,0.0645669,0.637,0.9652,0.3846,-0.2,0.167
MOD13A1_006__500m_16_days_NDVI_doy2019097_aid0001,_500m_16_days_NDVI,aid0001,2019-04-07,2391539.0,-0.2,0.9677,"(-0.2,0.9677)",0.4213767,0.2575626,0.0663385,0.6589,0.9677,0.4199,-0.2,0.1769
MOD13A1_006__500m_16_days_NDVI_doy2019113_aid0001,_500m_16_days_NDVI,aid0001,2019-04-23,2392181.0,-0.2,0.9615,"(-0.2,0.9615)",0.4184494,0.2490435,0.0620227,0.6383,0.9615,0.4248,-0.2,0.1807
MOD13A1_006__500m_16_days_NDVI_doy2019129_aid0001,_500m_16_days_NDVI,aid0001,2019-05-09,2391460.0,-0.2,0.9751,"(-0.2,0.9751)",0.3987818,0.239565,0.0573914,0.5958,0.9751,0.3884,-0.2,0.1744
MOD13A1_006__500m_16_days_NDVI_doy2019145_aid0001,_500m_16_days_NDVI,aid0001,2019-05-25,2389014.0,-0.2,0.9739,"(-0.2,0.9739)",0.407587,0.243491,0.0592879,0.6113,0.9739,0.4011,-0.2,0.1756
MOD13A1_006__500m_16_days_NDVI_doy2019161_aid0001,_500m_16_days_NDVI,aid0001,2019-06-10,2391765.0,-0.2,0.9884,"(-0.2,0.9884)",0.4087122,0.2448805,0.0599665,0.6135,0.9884,0.4002,-0.2,0.1711
MOD13A1_006__500m_16_days_NDVI_doy2019177_aid0001,_500m_16_days_NDVI,aid0001,2019-06-26,2388248.0,-0.2,0.9834,"(-0.2,0.9834)",0.4039609,0.2395304,0.0573748,0.6024,0.9834,0.3888,-0.2,0.1738
MOD13A1_006__500m_16_days_NDVI_doy2019193_aid0001,_500m_16_days_NDVI,aid0001,2019-07-12,2390217.0,-0.2,0.9626,"(-0.2,0.9626)",0.4019079,0.2411814,0.0581685,0.6029,0.9626,0.3796,-0.2,0.1726
MOD13A1_006__500m_16_days_NDVI_doy2019209_aid0001,_500m_16_days_NDVI,aid0001,2019-07-28,2389652.0,-0.2,0.9774,"(-0.2,0.9774)",0.3987032,0.2406527,0.0579137,0.5972,0.9774,0.3707,-0.2,0.1724
MOD13A1_006__500m_16_days_NDVI_doy2019225_aid0001,_500m_16_days_NDVI,aid0001,2019-08-13,2387915.0,-0.2,0.9913,"(-0.2,0.9913)",0.3960584,0.2395999,0.0574081,0.5903,0.9913,0.3657,-0.2,0.1712
MOD13A1_006__500m_16_days_NDVI_doy2019241_aid0001,_500m_16_days_NDVI,aid0001,2019-08-29,2389449.0,-0.2,0.9791,"(-0.2,0.9791)",0.396357,0.2402633,0.0577265,0.5885,0.9791,0.3641,-0.2,0.1736
MOD13A1_006__500m_16_days_NDVI_doy2019257_aid0001,_500m_16_days_NDVI,aid0001,2019-09-14,2389973.0,-0.2,0.9746,"(-0.2,0.9746)",0.394393,0.2395595,0.0573887,0.5831,0.9746,0.3623,-0.2,0.172
MOD13A1_006__500m_16_days_NDVI_doy2019273_aid0001,_500m_16_days_NDVI,aid0001,2019-09-30,2389192.0,-0.2,0.9881,"(-0.2,0.9881)",0.3893575,0.2367078,0.0560306,0.5699,0.9881,0.3556,-0.2,0.1711
MOD13A1_006__500m_16_days_NDVI_doy2019289_aid0001,_500m_16_days_NDVI,aid0001,2019-10-16,2389163.0,-0.2,0.9819,"(-0.2,0.9819)",0.3824811,0.2344295,0.0549572,0.557,0.9819,0.3447,-0.2,0.1694
MOD13A1_006__500m_16_days_NDVI_doy2019305_aid0001,_500m_16_days_NDVI,aid0001,2019-11-01,2390121.0,-0.2,0.9929,"(-0.2,0.9929)",0.3764813,0.2358947,0.0556463,0.5468,0.9929,0.332,-0.2,0.1667
MOD13A1_006__500m_16_days_NDVI_doy2019321_aid0001,_500m_16_days_NDVI,aid0001,2019-11-17,2393500.0,-0.2,0.9976,"(-0.2,0.9976)",0.3777864,0.2335813,0.0545602,0.5445,0.9976,0.3338,-0.2,0.1759
MOD13A1_006__500m_16_days_NDVI_doy2019337_aid0001,_500m_16_days_NDVI,aid0001,2019-12-03,2392205.0,-0.2,0.9984,"(-0.2,0.9984)",0.3630704,0.2394105,0.0573174,0.5249,0.9984,0.3476,-0.2,0.142
MOD13A1_006__500m_16_days_NDVI_doy2019353_aid0001,_500m_16_days_NDVI,aid0001,2019-12-19,2390391.0,-0.2,0.9979,"(-0.2,0.9979)",0.3956946,0.2474247,0.061219,0.5722,0.9979,0.3973,-0.2,0.1587
MOD13A1_006__500m_16_days_NDVI_doy2020001_aid0001,_500m_16_days_NDVI,aid0001,2020-01-01,2388786.0,-0.2,0.998,"(-0.2,0.998)",0.4010363,0.2493252,0.0621631,0.588,0.998,0.4092,-0.2,0.1575
MOD13A1_006__500m_16_days_NDVI_doy2020017_aid0001,_500m_16_days_NDVI,aid0001,2020-01-17,2394086.0,-0.2,0.9993,"(-0.2,0.9993)",0.3921822,0.2381238,0.0567029,0.5924,0.9993,0.3981,-0.2,0.1601
MOD13A1_006__500m_16_days_NDVI_doy2020033_aid0001,_500m_16_days_NDVI,aid0001,2020-02-02,2389897.0,-0.2,0.9976,"(-0.2,0.9976)",0.4211538,0.2482698,0.0616379,0.6227,0.9976,0.434,-0.2,0.1779
MOD13A1_006__500m_16_days_NDVI_doy2020049_aid0001,_500m_16_days_NDVI,aid0001,2020-02-18,2389929.0,-0.2,0.9886,"(-0.2,0.9886)",0.4170269,0.2424106,0.0587629,0.6178,0.9886,0.4252,-0.2,0.1827
MOD13A1_006__500m_16_days_NDVI_doy2020065_aid0001,_500m_16_days_NDVI,aid0001,2020-03-05,2391166.0,-0.2,0.9927,"(-0.2,0.9927)",0.4192954,0.2415218,0.0583328,0.6216,0.9927,0.4265,-0.2,0.1869
MOD13A1_006__500m_16_days_NDVI_doy2020081_aid0001,_500m_16_days_NDVI,aid0001,2020-03-21,2390616.0,-0.2,0.9761,"(-0.2,0.9761)",0.410788,0.2462802,0.0606539,0.6253,0.9761,0.4012,-0.2,0.1809
MOD13A1_006__500m_16_days_NDVI_doy2020097_aid0001,_500m_16_days_NDVI,aid0001,2020-04-06,482287.0,-0.2,0.9778,"(-0.2,0.9778)",0.5364017,0.2222004,0.049373,0.7148,0.9778,0.5671,-0.169,0.3612
MOD13A1_006__500m_16_days_NDVI_doy2020113_aid0001,_500m_16_days_NDVI,aid0001,2020-04-22,2389922.0,-0.2,0.9607,"(-0.2,0.9607)",0.4381911,0.2362335,0.0558063,0.6377,0.9607,0.4512,-0.2,0.2195
MOD13A1_006__500m_16_days_NDVI_doy2020129_aid0001,_500m_16_days_NDVI,aid0001,2020-05-08,2391222.0,-0.2,0.9661,"(-0.2,0.9661)",0.4198117,0.2339648,0.0547395,0.6159,0.9661,0.4143,-0.2,0.203
MOD13A1_006__500m_16_days_NDVI_doy2020145_aid0001,_500m_16_days_NDVI,aid0001,2020-05-24,2388839.0,-0.2,0.9772,"(-0.2,0.9772)",0.4167116,0.238459,0.0568627,0.6152,0.9772,0.3995,-0.2,0.1976
MOD13A1_006__500m_16_days_NDVI_doy2020161_aid0001,_500m_16_days_NDVI,aid0001,2020-06-09,2389179.0,-0.2,0.9666,"(-0.2,0.9666)",0.4057069,0.2360518,0.0557204,0.6004,0.9666,0.3809,-0.2,0.1888
MOD13A1_006__500m_16_days_NDVI_doy2020177_aid0001,_500m_16_days_NDVI,aid0001,2020-06-25,2388468.0,-0.2,0.9655,"(-0.2,0.9655)",0.3991547,0.2368582,0.0561018,0.5923,0.9655,0.3679,-0.2,0.1834
MOD13A1_006__500m_16_days_NDVI_doy2020193_aid0001,_500m_16_days_NDVI,aid0001,2020-07-11,2388068.0,-0.2,0.9909,"(-0.2,0.9909)",0.3948068,0.2376803,0.0564919,0.5862,0.9909,0.3585,-0.2,0.1794
MOD13A1_006__500m_16_days_NDVI_doy2020209_aid0001,_500m_16_days_NDVI,aid0001,2020-07-27,2387117.0,-0.2,0.9666,"(-0.2,0.9666)",0.3908792,0.2366199,0.055989,0.5785,0.9666,0.352,-0.2,0.1769
MOD13A1_006__500m_16_days_NDVI_doy2020225_aid0001,_500m_16_days_NDVI,aid0001,2020-08-12,2390655.0,-0.2,0.9835,"(-0.2,0.9835)",0.3862556,0.2360001,0.055696,0.5674,0.9835,0.3439,-0.2,0.1775
MOD13A1_006__500m_16_days_NDVI_doy2020241_aid0001,_500m_16_days_NDVI,aid0001,2020-08-28,2389744.0,-0.2,0.9942,"(-0.2,0.9942)",0.3782336,0.2292904,0.0525741,0.5474,0.9942,0.3371,-0.2,0.1768
MOD13A1_006__500m_16_days_NDVI_doy2020257_aid0001,_500m_16_days_NDVI,aid0001,2020-09-13,2389872.0,-0.2,0.9973,"(-0.2,0.9973)",0.3663241,0.2229984,0.0497283,0.5233,0.9973,0.3244,-0.2,0.1731
MOD13A1_006__500m_16_days_NDVI_doy2020273_aid0001,_500m_16_days_NDVI,aid0001,2020-09-29,2388069.0,-0.2,0.9907,"(-0.2,0.9907)",0.3673227,0.2231328,0.0497882,0.5207,0.9907,0.3223,-0.2,0.1753
MOD13A1_006__500m_16_days_NDVI_doy2020289_aid0001,_500m_16_days_NDVI,aid0001,2020-10-15,2387297.0,-0.2,0.9649,"(-0.2,0.9649)",0.3666604,0.2254456,0.0508257,0.5204,0.9649,0.3181,-0.2,0.1743
MOD13A1_006__500m_16_days_NDVI_doy2020305_aid0001,_500m_16_days_NDVI,aid0001,2020-10-31,2387894.0,-0.2,0.9968,"(-0.2,0.9968)",0.3674542,0.2238866,0.0501252,0.5209,0.9968,0.3221,-0.2,0.1781
MOD13A1_006__500m_16_days_NDVI_doy2020321_aid0001,_500m_16_days_NDVI,aid0001,2020-11-16,2387368.0,-0.2,0.9989,"(-0.2,0.9989)",0.3625281,0.2301394,0.0529641,0.5106,0.9989,0.3117,-0.2,0.1688
MOD13A1_006__500m_16_days_NDVI_doy2020337_aid0001,_500m_16_days_NDVI,aid0001,2020-12-02,2387989.0,-0.2,0.9991,"(-0.2,0.9991)",0.3704806,0.2380632,0.0566741,0.5247,0.9991,0.315,-0.2,0.1706
MOD13A1_006__500m_16_days_NDVI_doy2020353_aid0001,_500m_16_days_NDVI,aid0001,2020-12-18,2387501.0,-0.2,0.9992,"(-0.2,0.9992)",0.3462943,0.2340162,0.0547636,0.4913,0.9992,0.2951,-0.2,0.152
